hitter_name,team,plate_appearances,games,composite_score,grade,tier,ops,woba,wrc_plus,xwoba,xba,xslg,hard_hit_pct,barrel_pct,k_bb_ratio,avg,hr,rbi,sb,strengths,weaknesses,score_breakdown,rank
Rhys Hoskins,MIL,318,82,62.4,C+,Average,0.767,0.332,113,0.328,0.234,0.409,45.8,10.5,2.24,0.242,12,42,2,HardHit%: 45.8; Barrel%: 10.5,xBA: 0.234,"{'OPS': {'value': 0.767, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.332, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 113, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.328, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.234, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.409, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 45.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 10.5, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 2.24, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",124
Agustin Ramirez,MIA,486,112,61.9,C+,Average,0.714,0.307,94,0.348,0.274,0.48,47.0,11.3,3.22,0.231,19,60,11,xwOBA: 0.348; xBA: 0.274; xSLG: 0.48,OPS: 0.714; wOBA: 0.307; wRC+: 94,"{'OPS': {'value': 0.714, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.307, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 94, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.348, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.274, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.48, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 47.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 11.3, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.22, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",125
Austin Riley,ATL,447,102,61.8,C+,Average,0.737,0.319,103,0.338,0.254,0.478,49.8,15.2,4.77,0.26,16,54,2,xSLG: 0.478; HardHit%: 49.8; Barrel%: 15.2,wOBA: 0.319; K:BB: 4.77,"{'OPS': {'value': 0.737, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.319, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 103, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.338, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.254, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.478, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 49.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 15.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 4.77, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",126
Jose Altuve,HOU,570,133,61.8,C+,Average,0.796,0.341,119,0.307,0.247,0.394,29.9,6.3,1.9,0.274,24,68,9,wOBA: 0.341; wRC+: 119; K:BB: 1.9,xwOBA: 0.307; HardHit%: 29.9,"{'OPS': {'value': 0.796, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.341, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 119, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.307, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.247, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.394, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 29.9, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 6.3, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 1.9, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",127
Trevor Larnach,MIN,487,122,61.6,C+,Average,0.736,0.321,105,0.323,0.255,0.412,44.5,7.5,2.29,0.252,16,54,2,HardHit%: 44.5,None identified,"{'OPS': {'value': 0.736, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.321, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 105, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.323, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.255, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.412, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 44.5, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 7.5, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.29, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",128
Luis Garcia Jr.,WSN,452,119,60.7,C+,Average,0.707,0.304,93,0.348,0.295,0.473,44.7,8.4,3.08,0.263,11,55,11,xwOBA: 0.348; xBA: 0.295; xSLG: 0.473,OPS: 0.707; wOBA: 0.304; wRC+: 93,"{'OPS': {'value': 0.707, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.304, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 93, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.348, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.295, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.473, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 44.7, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 8.4, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.08, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",129
Mark Vientos,NYM,384,98,60.6,C+,Average,0.726,0.312,102,0.328,0.255,0.443,50.8,11.3,3.9,0.241,15,53,0,xSLG: 0.443; HardHit%: 50.8; Barrel%: 11.3,wOBA: 0.312; K:BB: 3.9,"{'OPS': {'value': 0.726, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.312, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 102, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.328, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.255, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.443, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 50.8, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 11.3, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.9, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",130
Bryan Reynolds,PIT,558,131,60.4,C+,Average,0.717,0.312,97,0.349,0.272,0.473,46.1,10.1,3.35,0.245,14,68,3,xwOBA: 0.349; xBA: 0.272; xSLG: 0.473,OPS: 0.717; wOBA: 0.312; wRC+: 97,"{'OPS': {'value': 0.717, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.312, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 97, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.349, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.272, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.473, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 46.1, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 10.1, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.35, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",131
Andrew Vaughn,- - -,381,94,60.1,C+,Average,0.678,0.294,87,0.352,0.275,0.486,47.7,13.0,2.92,0.234,14,59,0,xwOBA: 0.352; xBA: 0.275; xSLG: 0.486,OPS: 0.678; wOBA: 0.294; wRC+: 87,"{'OPS': {'value': 0.678, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.294, 'percentile_score': 20, 'weight': 0.15, 'contribution': 3.0}, 'wRC+': {'value': 87, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.352, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.275, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.486, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 47.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 13.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.92, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",132
Zach McKinstry,DET,456,125,60.0,C+,Average,0.789,0.341,118,0.314,0.258,0.367,30.8,5.8,2.24,0.264,11,45,19,wOBA: 0.341; wRC+: 118,xwOBA: 0.314; xSLG: 0.367; HardHit%: 30.8,"{'OPS': {'value': 0.789, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.341, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'wRC+': {'value': 118, 'percentile_score': 80, 'weight': 0.15, 'contribution': 12.0}, 'xwOBA': {'value': 0.314, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.258, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.367, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 30.8, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 5.8, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.24, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",133
Jung Hoo Lee,SFG,542,130,59.8,C,Below Average,0.727,0.317,105,0.327,0.282,0.395,32.2,3.9,1.44,0.259,7,48,10,xBA: 0.282; K:BB: 1.44,wOBA: 0.317; HardHit%: 32.2; Barrel%: 3.9,"{'OPS': {'value': 0.727, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.317, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 105, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.327, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.282, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.395, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 32.2, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'Barrel%': {'value': 3.9, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 1.44, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",134
Austin Hays,CIN,351,86,59.8,C,Below Average,0.766,0.327,104,0.314,0.24,0.421,38.1,10.8,3.4,0.261,12,56,6,xSLG: 0.421; Barrel%: 10.8,xwOBA: 0.314; K:BB: 3.4,"{'OPS': {'value': 0.766, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.327, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 104, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.314, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.24, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.421, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 38.1, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 10.8, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.4, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",135
Nolan Schanuel,LAA,535,125,59.7,C,Below Average,0.738,0.326,107,0.332,0.27,0.392,28.300000000000004,4.0,1.17,0.266,10,49,5,xBA: 0.27; K:BB: 1.17,HardHit%: 28.300000000000004; Barrel%: 4.0,"{'OPS': {'value': 0.738, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.326, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 107, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.332, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.27, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.392, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 28.300000000000004, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'Barrel%': {'value': 4.0, 'percentile_score': 40, 'weight': 0.08, 'contribution': 3.2}, 'K:BB': {'value': 1.17, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",136
Tyler Freeman,COL,351,93,59.4,C,Below Average,0.746,0.332,99,0.33,0.281,0.376,41.3,2.5,1.24,0.292,2,27,17,xBA: 0.281; HardHit%: 41.3; K:BB: 1.24,wRC+: 99; xSLG: 0.376; Barrel%: 2.5,"{'OPS': {'value': 0.746, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.332, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 99, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.33, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.281, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'xSLG': {'value': 0.376, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'HardHit%': {'value': 41.3, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 2.5, 'percentile_score': 20, 'weight': 0.08, 'contribution': 1.6}, 'K:BB': {'value': 1.24, 'percentile_score': 95, 'weight': 0.07, 'contribution': 6.65}}",137
Jake Burger,TEX,311,85,59.3,C,Below Average,0.7,0.301,92,0.333,0.263,0.483,48.4,13.0,7.44,0.244,12,42,1,xBA: 0.263; xSLG: 0.483; HardHit%: 48.4,OPS: 0.7; wOBA: 0.301; wRC+: 92,"{'OPS': {'value': 0.7, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.301, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 92, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.333, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.263, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.483, 'percentile_score': 95, 'weight': 0.1, 'contribution': 9.5}, 'HardHit%': {'value': 48.4, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 13.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 7.44, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",138
Trevor Story,BOS,558,135,59.2,C,Below Average,0.744,0.321,100,0.31,0.248,0.415,46.5,9.5,5.11,0.26,23,86,24,HardHit%: 46.5; Barrel%: 9.5,xwOBA: 0.31; K:BB: 5.11,"{'OPS': {'value': 0.744, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.321, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wRC+': {'value': 100, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.31, 'percentile_score': 40, 'weight': 0.12, 'contribution': 4.8}, 'xBA': {'value': 0.248, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.415, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 46.5, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 9.5, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 5.11, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",139
Spencer Horwitz,PIT,334,85,59.0,C,Below Average,0.721,0.317,100,0.323,0.261,0.406,37.2,7.5,2.03,0.259,7,39,0,xBA: 0.261,wOBA: 0.317,"{'OPS': {'value': 0.721, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.317, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 100, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.323, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.261, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.406, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 37.2, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 7.5, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 2.03, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",140
Oneil Cruz,PIT,478,114,59.0,C,Below Average,0.7,0.304,92,0.346,0.236,0.459,57.2,19.7,2.63,0.204,19,53,36,xwOBA: 0.346; xSLG: 0.459; HardHit%: 57.2,OPS: 0.7; wOBA: 0.304; wRC+: 92,"{'OPS': {'value': 0.7, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.304, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 92, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.346, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.236, 'percentile_score': 40, 'weight': 0.1, 'contribution': 4.0}, 'xSLG': {'value': 0.459, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 57.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 19.7, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.63, 'percentile_score': 60, 'weight': 0.07, 'contribution': 4.2}}",141
Teoscar Hernandez,LAD,454,112,58.8,C,Below Average,0.732,0.312,99,0.33,0.258,0.46,45.2,12.4,5.61,0.245,21,77,5,xSLG: 0.46; HardHit%: 45.2; Barrel%: 12.4,wOBA: 0.312; wRC+: 99; K:BB: 5.61,"{'OPS': {'value': 0.732, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.312, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 99, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.33, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.258, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.46, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 45.2, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 12.4, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 5.61, 'percentile_score': 20, 'weight': 0.07, 'contribution': 1.4000000000000001}}",142
Miguel Vargas,CHW,502,121,58.6,C,Below Average,0.719,0.315,100,0.321,0.244,0.407,40.5,8.0,1.72,0.234,14,52,4,HardHit%: 40.5; Barrel%: 8.0; K:BB: 1.72,OPS: 0.719; wOBA: 0.315,"{'OPS': {'value': 0.719, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.315, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 100, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.321, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.244, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.407, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 40.5, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 8.0, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 1.72, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",143
Kody Clemens,- - -,304,98,58.4,C,Below Average,0.697,0.3,90,0.341,0.251,0.478,50.0,11.2,3.03,0.206,14,40,2,xwOBA: 0.341; xSLG: 0.478; HardHit%: 50.0,OPS: 0.697; wOBA: 0.3; wRC+: 90,"{'OPS': {'value': 0.697, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.3, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 90, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'xwOBA': {'value': 0.341, 'percentile_score': 80, 'weight': 0.12, 'contribution': 9.6}, 'xBA': {'value': 0.251, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.478, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 50.0, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'Barrel%': {'value': 11.2, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'K:BB': {'value': 3.03, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",144
Sean Murphy,ATL,330,92,58.0,C,Below Average,0.725,0.316,101,0.325,0.21,0.426,41.8,13.6,2.94,0.204,16,45,0,xSLG: 0.426; HardHit%: 41.8; Barrel%: 13.6,wOBA: 0.316; xBA: 0.21; K:BB: 2.94,"{'OPS': {'value': 0.725, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.316, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 101, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.325, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.21, 'percentile_score': 20, 'weight': 0.1, 'contribution': 2.0}, 'xSLG': {'value': 0.426, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 41.8, 'percentile_score': 80, 'weight': 0.08, 'contribution': 6.4}, 'Barrel%': {'value': 13.6, 'percentile_score': 95, 'weight': 0.08, 'contribution': 7.6000000000000005}, 'K:BB': {'value': 2.94, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",145
Victor Caratini,HOU,331,95,57.6,C,Below Average,0.733,0.318,104,0.325,0.258,0.42,39.9,7.7,3.13,0.262,11,43,1,xSLG: 0.42,wOBA: 0.318; K:BB: 3.13,"{'OPS': {'value': 0.733, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'wOBA': {'value': 0.318, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 104, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.325, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.258, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'xSLG': {'value': 0.42, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'HardHit%': {'value': 39.9, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 7.7, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 3.13, 'percentile_score': 40, 'weight': 0.07, 'contribution': 2.8000000000000003}}",146
Xander Bogaerts,SDP,534,131,57.4,C,Below Average,0.717,0.313,103,0.332,0.275,0.416,38.5,6.6000000000000005,1.88,0.262,10,49,20,xBA: 0.275; K:BB: 1.88,OPS: 0.717; wOBA: 0.313,"{'OPS': {'value': 0.717, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wOBA': {'value': 0.313, 'percentile_score': 40, 'weight': 0.15, 'contribution': 6.0}, 'wRC+': {'value': 103, 'percentile_score': 60, 'weight': 0.15, 'contribution': 9.0}, 'xwOBA': {'value': 0.332, 'percentile_score': 60, 'weight': 0.12, 'contribution': 7.199999999999999}, 'xBA': {'value': 0.275, 'percentile_score': 80, 'weight': 0.1, 'contribution': 8.0}, 'xSLG': {'value': 0.416, 'percentile_score': 60, 'weight': 0.1, 'contribution': 6.0}, 'HardHit%': {'value': 38.5, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'Barrel%': {'value': 6.6000000000000005, 'percentile_score': 60, 'weight': 0.08, 'contribution': 4.8}, 'K:BB': {'value': 1.88, 'percentile_score': 80, 'weight': 0.07, 'contribution': 5.6000000000000005}}",147
